date,pool,pit,new_pit (y/n),pit_year,color,new_color (y/n),first_year,pool_salinity,pool_salinity_2,pool_temp,pool_temp2,sex,status,notes
4/11/2017,2,,,,yellow,y,2017,4.11,,,,,alive,
4/11/2017,2,,,,yellow,y,2017,4.11,,,,,alive,
4/11/2017,5,,,,yellow,y,2017,0.25,,,,,alive,
4/11/2017,5,,,,yellow,y,2017,0.25,,,,,alive,
4/11/2017,5,,,,yellow,y,2017,0.25,,,,,alive,
4/11/2017,6,,,,yellow,y,2017,0.18,,,,,alive,
4/11/2017,6,,,,yellow,y,2017,0.18,,,,,alive,
4/11/2017,6,,,,yellow,y,2017,0.18,,,,,alive,
4/11/2017,6,,,,yellow,y,2017,0.18,,,,,alive,
4/11/2017,6,,,,yellow,y,2017,0.18,,,,,alive,
4/11/2017,7,,,,yellow,y,2017,4.54,,,,,alive,
4/11/2017,7,,,,yellow,y,2017,4.54,,,,,alive,
4/11/2017,7,,,,yellow,y,2017,4.54,,,,,alive,
4/11/2017,8,,,,yellow,y,2017,0.29,,,,,alive,
4/11/2017,12,,,,yellow,y,2017,0.39,,,,,alive,
4/11/2017,12,,,,yellow,y,2017,0.39,,,,,alive,
4/11/2017,12,,,,yellow,y,2017,0.39,,,,,alive,
4/11/2017,12,,,,yellow,y,2017,0.39,,,,,alive,
4/11/2017,12,,,,yellow,y,2017,0.39,,,,,alive,
4/11/2017,12,,,,yellow,y,2017,0.39,,,,,alive,
4/11/2017,12,,,,yellow,y,2017,0.39,,,,,alive,
4/11/2017,12,,,,yellow,y,2017,0.39,,,,,alive,
4/11/2017,12,,,,yellow,y,2017,0.39,,,,,alive,
4/11/2017,13,,,,yellow,y,2017,0.58,,,,,alive,
4/11/2017,13,,,,yellow,y,2017,0.58,,,,,alive,
4/11/2017,13,,,,yellow,y,2017,0.58,,,,,alive,
4/11/2017,13,,,,yellow,y,2017,0.58,,,,,alive,
4/11/2017,13,,,,yellow,y,2017,0.58,,,,,alive,
4/11/2017,13,,,,yellow,y,2017,0.58,,,,,alive,
4/11/2017,13,,,,yellow,y,2017,0.58,,,,,alive,
4/11/2017,15,,,,yellow,y,2017,0.68,,,,,alive,
4/11/2017,15,,,,yellow,y,2017,0.68,,,,,alive,
4/11/2017,15,,,,yellow,y,2017,0.68,,,,,alive,
4/11/2017,15,,,,yellow,y,2017,0.68,,,,,alive,
4/14/2017,4,,,,yellow,y,2017,0.36,,,,,alive,
4/14/2017,7,,,,yellow,y,2017,0.26,,,,,alive,
4/14/2017,7,,,,yellow,y,2017,0.26,,,,,alive,
4/14/2017,7,,,,yellow,y,2017,0.26,,,,,alive,
4/14/2017,7,,,,yellow,y,2017,0.26,,,,,alive,
4/14/2017,8,,,,yellow,y,2017,0.23,,,,,alive,
4/14/2017,9,,,,yellow,y,2017,0.24,,,,,alive,
4/14/2017,10,,,,yellow,y,2017,0.5,,,,,alive,
4/14/2017,10,,,,yellow,y,2017,0.5,,,,,alive,
4/14/2017,11,,,,yellow,y,2017,6.42,,,,,alive,
