date,pool,pit,new_pit (y/n),pit_year,color,new_color (y/n),pool_salinity,pool_salinity_2,pool_temp,pool_temp2,sex,status,notes
04/02/2016,0,,,,none,,,,,,,alive,
04/02/2016,0,,,,none,,,,,,,alive,
04/02/2016,0,,,,none,,,,,,,alive,
04/02/2016,1,,,,none,,0.2,,,,,alive,
04/02/2016,2,,,,none,,0.2,,,,,alive,
04/02/2016,2,,,,none,,0.2,,,,,alive,
04/02/2016,2,,,,none,,0.2,,,,,alive,
04/02/2016,2,,,,none,,0.2,,,,,alive,
04/02/2016,2,,,,none,,0.2,,,,,alive,
04/02/2016,3,,,,none,,0.3,,,,,alive,
04/02/2016,3,,,,none,,0.3,,,,,alive,
04/02/2016,3,,,,none,,0.3,,,,,alive,
04/02/2016,3,,,,none,,0.3,,,,,alive,
04/02/2016,3,,,,none,,0.3,,,,,alive,
04/02/2016,3,,,,none,,0.3,,,,,alive,
04/02/2016,3,,,,none,,0.3,,,,,alive,
04/02/2016,3,,,,none,,0.3,,,,,alive,
04/02/2016,3,,,,none,,0.3,,,,,alive,
04/02/2016,3,,,,none,,0.3,,,,,alive,
04/02/2016,3,,,,none,,0.3,,,,,alive,
04/02/2016,3,,,,none,,0.3,,,,,alive,
04/02/2016,3,,,,none,,0.3,,,,,alive,
04/02/2016,3,,,,none,,0.3,,,,,alive,
04/02/2016,4,,,,none,,0.3,,,,,alive,
04/02/2016,4,,,,none,,0.3,,,,,alive,
04/02/2016,4,,,,none,,0.3,,,,,alive,
04/02/2016,4,,,,none,,0.3,,,,,alive,
04/02/2016,6,,,,none,,0.2,,,,,alive,
04/02/2016,6,,,,none,,0.2,,,,,alive,
04/02/2016,6,,,,none,,0.2,,,,,alive,
04/02/2016,6,,,,none,,0.2,,,,,alive,
04/02/2016,7,,,,none,,0.3,,,,,alive,
04/02/2016,7,,,,none,,0.3,,,,,alive,
04/02/2016,7,,,,none,,0.3,,,,,alive,
04/02/2016,8,,,,none,,0.9,,,,,alive,
04/02/2016,8,,,,none,,0.9,,,,,alive,
04/02/2016,8,,,,none,,0.9,,,,,alive,
04/02/2016,8,,,,none,,0.9,,,,,alive,
04/02/2016,8,,,,none,,0.9,,,,,alive,
04/02/2016,8,,,,none,,0.9,,,,,alive,
04/02/2016,9,,,,none,,0.3,,,,,alive,
04/02/2016,9,,,,none,,0.3,,,,,alive,
04/02/2016,9,,,,none,,0.3,,,,,alive,
04/02/2016,10,,,,none,,0.9,,,,,alive,
04/02/2016,11,,,,none,,0.3,,,,,alive,
04/02/2016,12,,,,none,,0.2,,,,,alive,
04/02/2016,13,,,,none,,0.4,,,,,alive,
04/02/2016,13,,,,none,,0.4,,,,,alive,
04/04/2016,4,,,,none,,,,,,,alive,
04/07/2016,2,,,,none,,0.2,,,,,alive,
04/07/2016,2,,,,none,,0.2,,,,,alive,
04/07/2016,2,,,,none,,0.2,,,,,alive,
04/07/2016,2,,,,none,,0.2,,,,,alive,
04/07/2016,3,,,,none,,0.2,,,,,alive,
04/07/2016,3,,,,none,,0.2,,,,,alive,
04/07/2016,3,,,,none,,0.2,,,,,alive,
04/07/2016,3,,,,none,,0.2,,,,,alive,
04/07/2016,3,,,,none,,0.2,,,,,alive,
04/07/2016,3,,,,none,,0.2,,,,,alive,
04/07/2016,3,,,,none,,0.2,,,,,alive,
04/07/2016,7,,,,none,,0.3,,,,,alive,
04/07/2016,8,,,,none,,0.5,,,,,alive,
04/07/2016,9,,,,none,,0.3,,,,,alive,
04/07/2016,9,,,,none,,0.3,,,,,alive,
04/07/2016,11,,,,none,,0.3,,,,,alive,
04/07/2016,11,,,,none,,0.3,,,,,alive,
04/07/2016,11,,,,none,,0.3,,,,,alive,
04/07/2016,11,,,,none,,0.3,,,,,alive,
04/07/2016,11,,,,none,,0.3,,,,,alive,
04/07/2016,11,,,,none,,0.3,,,,,alive,
04/07/2016,11,,,,none,,0.3,,,,,alive,
04/07/2016,11,,,,none,,0.3,,,,,alive,
04/09/2016,3,,,,none,,28,,,,f,alive,
04/12/2016,2,,,,none,,10.7,,,,,alive,
04/12/2016,3,,,,none,,24.2,,,,,alive,
04/12/2016,3,,,,none,,24.2,,,,,alive,
04/12/2016,3,,,,none,,24.2,,,,,alive,
04/12/2016,3,,,,none,,24.2,,,,,alive,
04/12/2016,11,,,,none,,0.9,,,,,alive,
04/12/2016,11,,,,none,,0.9,,,,,alive,
04/12/2016,13,,,,none,,2.2,,,,,alive,
04/12/2016,14,,,,none,,10.9,,,,,alive,
04/12/2016,14,,,,none,,10.9,,,,,alive,
04/20/2016,8,,,,none,,0.8,3.2,,,f,alive,
05/07/2016,2,,,,none,,0.2,,,,,alive,
