date,pool,pit,new_pit (y/n),pit_year,color,new_color (y/n),first_year,pool_salinity,pool_salinity_2,pool_temp,pool_temp2,sex,status,notes
4/13/2018,0,,,,pink,y,2018,,,,,,alive,
4/13/2018,0,,,,pink,y,2018,,,,,,alive,
4/13/2018,0,,,,pink,y,2018,,,,,,alive,
4/13/2018,0,,,,pink,y,2018,,,,,,alive,
4/13/2018,0,,,,pink,y,2018,,,,,,alive,
4/13/2018,0,,,,pink,y,2018,,,,,,alive,
4/13/2018,0,,,,pink,y,2018,,,,,,alive,
4/13/2018,0,,,,pink,y,2018,,,,,,alive,
4/13/2018,0,,,,pink,y,2018,,,,,,alive,
4/13/2018,0,,,,pink,y,2018,,,,,,alive,
4/13/2018,0,,,,pink,y,2018,,,,,,alive,
4/13/2018,0,,,,pink,y,2018,,,,,,alive,
4/13/2018,0,,,,pink,y,2018,,,,,,alive,
4/13/2018,0,,,,pink,y,2018,,,,,,alive,
4/13/2018,1,,,,pink,y,2018,0.9,,,,,alive,
4/13/2018,1,,,,pink,y,2018,0.9,,,,,alive,
4/13/2018,1,,,,pink,y,2018,0.9,,,,,alive,
4/13/2018,1,,,,pink,y,2018,0.9,,,,,alive,
4/13/2018,1,,,,yellow,n,2017,0.9,,,,,alive,
4/13/2018,2,,,,pink,y,2018,7.41,,,,,alive,
4/13/2018,2,,,,pink,y,2018,7.41,,,,,alive,
4/13/2018,2,,,,pink,y,2018,7.41,,,,,alive,
4/13/2018,5,,,,yellow,n,2017,0.12,,,,,alive,
4/13/2018,6,,,,pink,y,2018,0.13,,,,,alive,
4/13/2018,6,,,,pink,y,2018,0.13,,,,,alive,
4/13/2018,6,,,,pink,y,2018,0.13,,,,,alive,
4/13/2018,6,,,,pink,y,2018,0.13,,,,,alive,
4/13/2018,6,,,,pink,y,2018,0.13,,,,,alive,
4/13/2018,6,,,,yellow,n,2017,0.13,,,,,alive,
4/13/2018,6,,,,yellow,n,2017,0.13,,,,,alive,
4/13/2018,6,,,,yellow,n,2017,0.13,,,,,alive,
4/13/2018,9,,,,none,,,3.38,,,,,dead,
4/17/2018,11,,,,none,,,32.5,,,,,dead,
4/17/2018,11,,,,none,,,32.5,,,,,dead,
4/17/2018,11,,,,none,,,32.5,,,,,dead,
4/17/2018,0,,,,none,,,,,,,,alive,
4/17/2018,13,,,,none,,,7.9,,,,,dead,
4/19/2018,7,,,,yellow,n,2017,3.4,30.6,,,,alive,
4/19/2018,7,,,,not scanned,,,3.4,30.6,,,,alive,uncaptured?
4/19/2018,7,,,,not scanned,,,3.4,30.6,,,,alive,uncaptured?
4/19/2018,7,,,,not scanned,,,3.4,30.6,,,,alive,uncaptured?
4/19/2018,7,,,,not scanned,,,3.4,30.6,,,,alive,uncaptured?
4/19/2018,12,,,,yellow,n,2017,0.7,,,,,alive,
4/19/2018,18,,,,pink,n,2018,0.18,,,,,alive,
4/20/2018,14,,,,yellow,n,2017,2.35,,,,,alive,
4/22/2018,7,,,,yellow,n,2017,0.17,,,,,alive,
4/22/2018,11,,,,pink,y,2018,18.3,,,,,alive,
4/22/2018,12,,,,pink,y,2018,0.91,,,,,alive,
4/22/2018,12,,,,pink,y,2018,0.91,,,,,alive,
4/22/2018,15,,,,yellow,n,2017,1.13,,,,,alive,
4/25/2018,5,,,,pink,y,2018,0.29,,,,,alive,
4/25/2018,5,,,,pink,y,2018,0.29,,,,,alive,
4/25/2018,5,,,,pink,y,2018,0.29,,,,,alive,
4/25/2018,5,,,,pink,y,2018,0.29,,,,,alive,
4/25/2018,5,,,,yellow,n,2017,0.29,,,,,alive,
4/25/2018,7,,,,pink,y,2018,1.92,,,,,alive,
4/25/2018,7,,,,pink,y,2018,1.92,,,,,alive,
4/25/2018,7,,,,pink,y,2018,1.92,,,,,alive,
4/25/2018,7,,,,pink,y,2018,1.92,,,,,alive,
4/25/2018,7,,,,pink,y,2018,1.92,,,,,alive,
4/25/2018,7,,,,pink,y,2018,1.92,,,,,alive,
4/25/2018,7,,,,pink,y,2018,1.92,,,,,alive,
4/25/2018,7,,,,pink,y,2018,1.92,,,,,alive,
4/25/2018,7,,,,pink,y,2018,1.92,,,,,alive,
4/25/2018,7,,,,pink,y,2018,1.92,,,,,alive,
4/25/2018,7,,,,pink,y,2018,1.92,,,,,alive,
4/25/2018,7,,,,pink,y,2018,1.92,,,,,alive,
4/25/2018,7,,,,pink,y,2018,1.92,,,,,alive,
4/25/2018,7,,,,pink,y,2018,1.92,,,,,alive,
4/25/2018,7,,,,pink,y,2018,1.92,,,,,alive,
4/25/2018,7,,,,pink,y,2018,1.92,,,,,alive,
4/25/2018,7,,,,pink,y,2018,1.92,,,,,alive,
4/25/2018,7,,,,pink,y,2018,1.92,,,,,alive,
4/25/2018,7,,,,pink,y,2018,1.92,,,,,alive,
4/25/2018,7,,,,yellow,n,2017,1.92,,,,,alive,
4/26/2018,0,,,,none,,,,,,,,alive,
4/26/2018,0,,,,none,,,,,,,,alive,
4/26/2018,0,,,,none,,,,,,,,alive,
4/26/2018,0,,,,none,,,,,,,,alive,
4/26/2018,4,,,,none,,,14.08,,,,,dead,
4/26/2018,4,,,,none,,,14.08,,,,,dead,
4/26/2018,5,,,,yellow,n,2017,0.79,,,,,alive,
4/27/2018,5,,,,pink,y,2018,,,,,,alive,
4/27/2018,7,,,,pink,y,2018,,,,,,alive,
4/29/2018,7,,,,yellow,n,2017,6.11,,,,,alive,
4/29/2018,11,,,,pink,y,2018,0.44,,,,,alive,
4/29/2018,12,,,,pink,y,2018,0.26,,,,,alive,
4/29/2018,12,,,,pink,y,2018,0.26,,,,,alive,
4/29/2018,12,,,,pink,y,2018,0.26,,,,,alive,
4/29/2018,12,,,,pink,y,2018,0.26,,,,,alive,
4/29/2018,12,,,,pink,n,2018,0.26,,,,,alive,
4/29/2018,13,,,,pink,y,2018,0.25,,,,,alive,
4/29/2018,13,,,,pink,y,2018,0.25,,,,,alive,
4/29/2018,13,,,,pink,y,2018,0.25,,,,,alive,
4/29/2018,13,,,,pink,y,2018,0.25,,,,,alive,
4/29/2018,14,,,,none,y,,3.04,,,,,alive,
