date,pool,pit,new_pit (y/n),pit_year,color,new_color (y/n),first_year,pool_salinity,pool_salinity_2,pool_temp,pool_temp2,sex,status,notes
04/02/2016,0,NA,NA,NA,none,NA,NA,NA,NA,NA,NA,NA,alive,NA
04/02/2016,0,NA,NA,NA,none,NA,NA,NA,NA,NA,NA,NA,alive,NA
04/02/2016,0,NA,NA,NA,none,NA,NA,NA,NA,NA,NA,NA,alive,NA
04/02/2016,1,NA,NA,NA,none,NA,NA,0.2,NA,NA,NA,NA,alive,NA
04/02/2016,2,NA,NA,NA,none,NA,NA,0.2,NA,NA,NA,NA,alive,NA
04/02/2016,2,NA,NA,NA,none,NA,NA,0.2,NA,NA,NA,NA,alive,NA
04/02/2016,2,NA,NA,NA,none,NA,NA,0.2,NA,NA,NA,NA,alive,NA
04/02/2016,2,NA,NA,NA,none,NA,NA,0.2,NA,NA,NA,NA,alive,NA
04/02/2016,2,NA,NA,NA,none,NA,NA,0.2,NA,NA,NA,NA,alive,NA
04/02/2016,3,NA,NA,NA,none,NA,NA,0.3,NA,NA,NA,NA,alive,NA
04/02/2016,3,NA,NA,NA,none,NA,NA,0.3,NA,NA,NA,NA,alive,NA
04/02/2016,3,NA,NA,NA,none,NA,NA,0.3,NA,NA,NA,NA,alive,NA
04/02/2016,3,NA,NA,NA,none,NA,NA,0.3,NA,NA,NA,NA,alive,NA
04/02/2016,3,NA,NA,NA,none,NA,NA,0.3,NA,NA,NA,NA,alive,NA
04/02/2016,3,NA,NA,NA,none,NA,NA,0.3,NA,NA,NA,NA,alive,NA
04/02/2016,3,NA,NA,NA,none,NA,NA,0.3,NA,NA,NA,NA,alive,NA
04/02/2016,3,NA,NA,NA,none,NA,NA,0.3,NA,NA,NA,NA,alive,NA
04/02/2016,3,NA,NA,NA,none,NA,NA,0.3,NA,NA,NA,NA,alive,NA
04/02/2016,3,NA,NA,NA,none,NA,NA,0.3,NA,NA,NA,NA,alive,NA
04/02/2016,3,NA,NA,NA,none,NA,NA,0.3,NA,NA,NA,NA,alive,NA
04/02/2016,3,NA,NA,NA,none,NA,NA,0.3,NA,NA,NA,NA,alive,NA
04/02/2016,3,NA,NA,NA,none,NA,NA,0.3,NA,NA,NA,NA,alive,NA
04/02/2016,3,NA,NA,NA,none,NA,NA,0.3,NA,NA,NA,NA,alive,NA
04/02/2016,4,NA,NA,NA,none,NA,NA,0.3,NA,NA,NA,NA,alive,NA
04/02/2016,4,NA,NA,NA,none,NA,NA,0.3,NA,NA,NA,NA,alive,NA
04/02/2016,4,NA,NA,NA,none,NA,NA,0.3,NA,NA,NA,NA,alive,NA
04/02/2016,4,NA,NA,NA,none,NA,NA,0.3,NA,NA,NA,NA,alive,NA
04/02/2016,6,NA,NA,NA,none,NA,NA,0.2,NA,NA,NA,NA,alive,NA
04/02/2016,6,NA,NA,NA,none,NA,NA,0.2,NA,NA,NA,NA,alive,NA
04/02/2016,6,NA,NA,NA,none,NA,NA,0.2,NA,NA,NA,NA,alive,NA
04/02/2016,6,NA,NA,NA,none,NA,NA,0.2,NA,NA,NA,NA,alive,NA
04/02/2016,7,NA,NA,NA,none,NA,NA,0.3,NA,NA,NA,NA,alive,NA
04/02/2016,7,NA,NA,NA,none,NA,NA,0.3,NA,NA,NA,NA,alive,NA
04/02/2016,7,NA,NA,NA,none,NA,NA,0.3,NA,NA,NA,NA,alive,NA
04/02/2016,8,NA,NA,NA,none,NA,NA,0.9,NA,NA,NA,NA,alive,NA
04/02/2016,8,NA,NA,NA,none,NA,NA,0.9,NA,NA,NA,NA,alive,NA
04/02/2016,8,NA,NA,NA,none,NA,NA,0.9,NA,NA,NA,NA,alive,NA
04/02/2016,8,NA,NA,NA,none,NA,NA,0.9,NA,NA,NA,NA,alive,NA
04/02/2016,8,NA,NA,NA,none,NA,NA,0.9,NA,NA,NA,NA,alive,NA
04/02/2016,8,NA,NA,NA,none,NA,NA,0.9,NA,NA,NA,NA,alive,NA
04/02/2016,9,NA,NA,NA,none,NA,NA,0.3,NA,NA,NA,NA,alive,NA
04/02/2016,9,NA,NA,NA,none,NA,NA,0.3,NA,NA,NA,NA,alive,NA
04/02/2016,9,NA,NA,NA,none,NA,NA,0.3,NA,NA,NA,NA,alive,NA
04/02/2016,10,NA,NA,NA,none,NA,NA,0.9,NA,NA,NA,NA,alive,NA
04/02/2016,11,NA,NA,NA,none,NA,NA,0.3,NA,NA,NA,NA,alive,NA
04/02/2016,12,NA,NA,NA,none,NA,NA,0.2,NA,NA,NA,NA,alive,NA
04/02/2016,13,NA,NA,NA,none,NA,NA,0.4,NA,NA,NA,NA,alive,NA
04/02/2016,13,NA,NA,NA,none,NA,NA,0.4,NA,NA,NA,NA,alive,NA
04/04/2016,4,NA,NA,NA,none,NA,NA,NA,NA,NA,NA,NA,alive,NA
04/07/2016,2,NA,NA,NA,none,NA,NA,0.2,NA,NA,NA,NA,alive,NA
04/07/2016,2,NA,NA,NA,none,NA,NA,0.2,NA,NA,NA,NA,alive,NA
04/07/2016,2,NA,NA,NA,none,NA,NA,0.2,NA,NA,NA,NA,alive,NA
